geoid,FIPS,geoid20,year,total_pop,snap_accepting_count,snap_rate
1400000U,06037221810,221810,2021,2744,4,14.577259
1400000U,06037221900,221900,2021,3839,4,10.41938
1400000U,06037222001,222001,2021,2957,2,6.7636118
1400000U,06037222002,222002,2021,5094,5,9.8154688
1400000U,06037222100,222100,2021,4264,2,4.6904316
1400000U,06037222200,222200,2021,4058,6,14.785608
1400000U,06037222500,222500,2021,4893,4,8.1749439
1400000U,06037222600,222600,2021,5525,1,1.8099548
1400000U,06037222700,222700,2021,3776,1,2.6483052
1400000U,06037224010,224010,2021,2933,2,6.8189569
1400000U,06037224020,224020,2021,2652,3,11.312217
1400000U,06037224200,224200,2021,2403,3,12.484394
1400000U,06037224310,224310,2021,2164,4,18.484289
1400000U,06037224320,224320,2021,3144,3,9.5419846
1400000U,06037224410,224410,2021,2990,3,10.033444
1400000U,06037224420,224420,2021,2634,2,7.5930142
1400000U,06037224600,224600,2021,3512,5,14.236902
1400000U,06037224702,224702,2021,2925,2,6.8376069
1400000U,06037226001,226001,2021,2261,13,57.496681
1400000U,06037226002,226002,2021,1912,16,83.682007
1400000U,06037226410,226410,2021,3588,6,16.722408
1400000U,06037226420,226420,2021,5488,7,12.755102
1400000U,06037226701,226701,2021,3115,6,19.261637
1400000U,06037226702,226702,2021,4342,2,4.6061721
1400000U,06037227010,227010,2021,5104,5,9.7962379
1400000U,06037227020,227020,2021,3798,3,7.8988943
1400000U,06037228100,228100,2021,5785,8,13.828868
1400000U,06037228210,228210,2021,4398,3,6.8212824
1400000U,06037228220,228220,2021,4792,8,16.69449
1400000U,06037228310,228310,2021,4493,8,17.805475
1400000U,06037228320,228320,2021,3230,4,12.383901
1400000U,06037228410,228410,2021,3388,3,8.8547812
1400000U,06037228420,228420,2021,3155,7,22.187004
1400000U,06037228500,228500,2021,4818,7,14.528851
1400000U,06037228600,228600,2021,5226,7,13.394566
1400000U,06037228710,228710,2021,4141,5,12.074378
1400000U,06037228720,228720,2021,5000,5,10
1400000U,06037228800,228800,2021,5436,9,16.556292
1400000U,06037228900,228900,2021,3074,2,6.5061808
1400000U,06037229100,229100,2021,4828,5,10.356256
1400000U,06037229200,229200,2021,4726,4,8.4638176
1400000U,06037229300,229300,2021,5702,5,8.7688532
1400000U,06037229410,229410,2021,3952,5,12.651822
1400000U,06037229420,229420,2021,4249,1,2.3534949
1400000U,06037231100,231100,2021,3590,3,8.3565464
1400000U,06037231210,231210,2021,4348,1,2.2999079
1400000U,06037231220,231220,2021,4727,3,6.3465199
1400000U,06037231301,231301,2021,2593,1,3.8565369
1400000U,06037231302,231302,2021,3265,6,18.376722
1400000U,06037231400,231400,2021,4950,1,2.0202019
1400000U,06037231500,231500,2021,5154,4,7.7609625
1400000U,06037231601,231601,2021,2394,4,16.708437
1400000U,06037231603,231603,2021,2868,5,17.433752
1400000U,06037231710,231710,2021,4163,5,12.01057
1400000U,06037231720,231720,2021,5295,6,11.331445
1400000U,06037231800,231800,2021,5402,10,18.511662
1400000U,06037231901,231901,2021,3259,3,9.2052774
1400000U,06037231902,231902,2021,3097,6,19.373587
1400000U,06037232110,232110,2021,3180,5,15.72327
1400000U,06037232120,232120,2021,5305,5,9.4250708
1400000U,06037232200,232200,2021,3727,2,5.3662462
1400000U,06037232300,232300,2021,5213,3,5.7548437
1400000U,06037232401,232401,2021,3673,1,2.7225702
1400000U,06037232402,232402,2021,3061,1,3.2669063
1400000U,06037232500,232500,2021,4895,7,14.300306
1400000U,06037232601,232601,2021,1935,2,10.335917
1400000U,06037232602,232602,2021,5251,2,3.8087983
1400000U,06037232701,232701,2021,2537,3,11.82499
1400000U,06037232702,232702,2021,4332,4,9.2336102
1400000U,06037232800,232800,2021,4436,7,15.779982
1400000U,06037234002,234002,2021,3093,4,12.932428
1400000U,06037234200,234200,2021,2487,1,4.0209088
1400000U,06037234301,234301,2021,1749,6,34.305317
1400000U,06037234302,234302,2021,2181,1,4.5850525
1400000U,06037234501,234501,2021,2957,3,10.145417
1400000U,06037234502,234502,2021,2706,4,14.781966
1400000U,06037234600,234600,2021,4875,7,14.358974
1400000U,06037234700,234700,2021,3721,7,18.812147
1400000U,06037234800,234800,2021,3489,1,2.8661509
1400000U,06037234901,234901,2021,3203,4,12.488293
1400000U,06037234902,234902,2021,4278,1,2.3375409
1400000U,06037235100,235100,2021,4174,1,2.3957834
1400000U,06037235201,235201,2021,2754,1,3.6310821
1400000U,06037235202,235202,2021,3945,6,15.209126
1400000U,06037236001,236001,2021,4150,2,4.8192773
1400000U,06037236101,236101,2021,2722,4,14.695077
1400000U,06037236102,236102,2021,3607,1,2.772387
1400000U,06037236203,236203,2021,3550,1,2.8169014
1400000U,06037236206,236206,2021,2696,2,7.4183974
